run,rnn_units,step,batch_size,learning_rate,dropout,test_loss,train_loss,training_loss,ratio,error_neg,error_pos
26,-,-,-,-,-,0.0004984349361620843,0.0032088200096040964,0.0032088200096040964,0.15533,-0.0386292,0.03060843
27,-,-,-,-,-,0.000552007753867656,0.004890494979918003,0.004890494979918003,0.11287,-0.03660131,0.0298169
28,-,-,-,-,-,0.000434048764873296,0.0026038652285933495,0.0026038652285933495,0.16669,-0.03902381,0.0326397
29,-,-,-,-,-,0.0006774356588721275,0.0042541068978607655,0.0042541068978607655,0.15924,-0.03361949,0.0325148
30,-,-,-,-,-,0.0005761174252256751,0.0036686069797724485,0.0036686069797724485,0.15704,-0.03479826,0.03031872
31,-,-,-,-,-,0.0006702861865051091,0.007949707098305225,0.007949707098305225,0.08432,-0.03553897,0.02957368
32,-,-,-,-,-,0.0004911081050522625,0.003324645571410656,0.003324645571410656,0.14772,-0.03600366,0.03103074
33,-,-,-,-,-,0.0005883805570192635,0.006015524733811617,0.006015524733811617,0.09781,-0.03483454,0.03093375
34,-,-,-,-,-,0.00044561040704138577,0.002999365795403719,0.002999365795403719,0.14857,-0.03704536,0.03059982
35,-,-,-,-,-,0.0005806752596981823,0.0055953264236450195,0.0055953264236450195,0.10378,-0.03484942,0.03116597
36,-,-,-,-,-,0.000415179441915825,0.0021577230654656887,0.0021577230654656887,0.19242,-0.01285507,0.01389638
37,-,-,-,-,-,0.0003466977213975042,0.004109665751457214,0.004109665751457214,0.08436,-0.01350076,0.01145614
38,-,-,-,-,-,0.0005907003651373088,0.001928273937664926,0.001928273937664926,0.30634,-0.01281122,0.01896338
39,-,-,-,-,-,0.0005231270333752036,0.0034419328439980745,0.0034419328439980745,0.15199,-0.01295263,0.01739584
40,-,-,-,-,-,0.0004693145165219903,0.0019747642800211906,0.0019747642800211906,0.23766,-0.02072388,0.01521554
41,-,-,-,-,-,0.0005337167531251907,0.002777651883661747,0.002777651883661747,0.19215,-0.01338739,0.01963338
42,-,-,-,-,-,0.00043297934462316334,0.002205918077379465,0.002205918077379465,0.19628,-0.01229,0.01362176
43,-,-,-,-,-,0.00035747390938922763,0.0041959164664149284,0.0041959164664149284,0.0852,-0.01340428,0.01215158
44,-,-,-,-,-,0.0003471896343398839,0.0019755205139517784,0.0019755205139517784,0.17575,-0.01415535,0.01256272
45,-,-,-,-,-,0.00031295427470467985,0.0035626732278615236,0.0035626732278615236,0.08784,-0.01406161,0.01241333
