average-price,timestamp
45135.4923955506,2022-04-01T10:23:00Z
45119,2022-04-01T10:23:00Z
45150.2771139803,2022-04-01T10:24:00Z
45163.8419224332,2022-04-01T10:25:00Z
45146,2022-04-01T10:25:00Z
45160.1691658918,2022-04-01T10:26:00Z
45164.8932622265,2022-04-01T10:27:00Z
45154.6790688496,2022-04-01T10:28:00Z
45142.0476103651,2022-04-01T10:29:00Z
45153.4482062886,2022-04-01T10:30:00Z
45171,2022-04-01T10:30:00Z
45139.0232899181,2022-04-01T10:31:00Z
45147.0417158245,2022-04-01T10:32:00Z
45122.3606952467,2022-04-01T10:33:00Z
45118.2916525613,2022-04-01T10:34:00Z
45110,2022-04-01T10:34:00Z
45154.8233951622,2022-04-01T10:35:00Z
45129,2022-04-01T10:35:00Z
45164.6783735727,2022-04-01T10:36:00Z
45164,2022-04-01T10:36:00Z
45153.4018953613,2022-04-01T10:37:00Z
45125.0321245849,2022-04-01T10:38:00Z
45115.2648141571,2022-04-01T10:39:00Z
45098.261865366,2022-04-01T10:40:00Z
45118.4797340418,2022-04-01T10:41:00Z
45127.6134320512,2022-04-01T10:42:00Z
45127.8059430627,2022-04-01T10:43:00Z
45128.7323635467,2022-04-01T10:44:00Z
45122,2022-04-01T10:44:00Z
45117.462983947,2022-04-01T10:45:00Z
45124.761446502,2022-04-01T10:46:00Z
45123.9895230766,2022-04-01T10:47:00Z
45123.677168447,2022-04-01T10:48:00Z
45137.6135170948,2022-04-01T10:49:00Z
45160.9088663759,2022-04-01T10:50:00Z
45166,2022-04-01T10:50:00Z
45188.2743847804,2022-04-01T10:51:00Z
45203.5646349333,2022-04-01T10:51:00Z
45210,2022-04-01T10:51:00Z
45198.9058681541,2022-04-01T10:52:00Z
45199.2791566519,2022-04-01T10:53:00Z
45224.3747822952,2022-04-01T10:54:00Z
45238,2022-04-01T10:54:00Z
45221.2412104291,2022-04-01T10:55:00Z
45224.9,2022-04-01T10:55:00Z
45221.5805084905,2022-04-01T10:56:00Z
45221.8088767385,2022-04-01T10:57:00Z
45228,2022-04-01T10:57:00Z
45236.2621813549,2022-04-01T10:58:00Z
45247.6,2022-04-01T10:58:00Z
45244.5835080245,2022-04-01T10:59:00Z
45250.5486248912,2022-04-01T11:00:00Z
45252.9980763065,2022-04-01T11:00:00Z
45267.8362046415,2022-04-01T11:01:00Z
45260.4262195592,2022-04-01T11:02:00Z
45262.4,2022-04-01T11:02:00Z
45228.6425543553,2022-04-01T11:03:00Z
45209.2504964594,2022-04-01T11:04:00Z
45202.2747470772,2022-04-01T11:05:00Z
45198.0775510204,2022-04-01T11:05:00Z
45198.6327396795,2022-04-01T11:06:00Z
45213,2022-04-01T11:06:00Z
45198.2595196723,2022-04-01T11:07:00Z
45186.5959225187,2022-04-01T11:08:00Z
45181.9,2022-04-01T11:08:00Z
45190,2022-04-01T11:08:00Z
45173.3526190928,2022-04-01T11:09:00Z
45174.4318734309,2022-04-01T11:10:00Z
45184,2022-04-01T11:10:00Z
45184.6461924976,2022-04-01T11:11:00Z
45198.0557817358,2022-04-01T11:12:00Z
45221.5460969235,2022-04-01T11:13:00Z
45223,2022-04-01T11:13:00Z
45229.0481640527,2022-04-01T11:14:00Z
45239.2119346078,2022-04-01T11:15:00Z
45254.7113948528,2022-04-01T11:16:00Z
45258,2022-04-01T11:16:00Z
45260.9708294496,2022-04-01T11:17:00Z
45233.3306308393,2022-04-01T11:17:00Z
45270.6163792543,2022-04-01T11:18:00Z
45246.2680076357,2022-04-01T11:19:00Z
45251.8088634411,2022-04-01T11:20:00Z
45261.9771069367,2022-04-01T11:21:00Z
45268.9394235085,2022-04-01T11:22:00Z
45262.9,2022-04-01T11:22:00Z
45260.0352353276,2022-04-01T11:23:00Z
45246,2022-04-01T11:23:00Z
45257.3738873723,2022-04-01T11:24:00Z
45254,2022-04-01T11:24:00Z
45255.0672318633,2022-04-01T11:25:00Z
45272.0890860312,2022-04-01T11:26:00Z
45279.0670409848,2022-04-01T11:27:00Z
45267.1443351549,2022-04-01T11:28:00Z
45268.7806668478,2022-04-01T11:29:00Z
45283.3025869335,2022-04-01T11:30:00Z
45287.0220856739,2022-04-01T11:31:00Z
45286.6869987336,2022-04-01T11:31:00Z
45266.7427244308,2022-04-01T11:32:00Z
45285,2022-04-01T11:32:00Z
45214.0778714089,2022-04-01T11:33:00Z
45214.4804834068,2022-04-01T11:34:00Z
45210.8058039828,2022-04-01T11:35:00Z
45239.903030303,2022-04-01T11:35:00Z
45177.1672818579,2022-04-01T11:36:00Z
45168.9,2022-04-01T11:36:00Z
45164,2022-04-01T11:36:00Z
45148.6365826491,2022-04-01T11:37:00Z
45154.8230756867,2022-04-01T11:38:00Z
45129.2,2022-04-01T11:38:00Z
45143.4848107237,2022-04-01T11:39:00Z
45157.8021077041,2022-04-01T11:40:00Z
45150.1929946593,2022-04-01T11:41:00Z
45162.5,2022-04-01T11:41:00Z
45131,2022-04-01T11:41:00Z
45116.2915407407,2022-04-01T11:42:00Z
45118.5271823549,2022-04-01T11:43:00Z
45129.4147608278,2022-04-01T11:44:00Z
45159.9472202658,2022-04-01T11:45:00Z
45155.9919549477,2022-04-01T11:45:00Z
45148.8872630267,2022-04-01T11:46:00Z
45098.0854016651,2022-04-01T11:47:00Z
45115.2907066052,2022-04-01T11:47:00Z
45097.5947862811,2022-04-01T11:48:00Z
45100,2022-04-01T11:48:00Z
45088.1767404623,2022-04-01T11:49:00Z
45075,2022-04-01T11:49:00Z
45098.2626696852,2022-04-01T11:50:00Z
45092.2307692308,2022-04-01T11:50:00Z
45086.7703673102,2022-04-01T11:51:00Z
45085.9493626764,2022-04-01T11:52:00Z
45095.1667847956,2022-04-01T11:53:00Z
45087,2022-04-01T11:53:00Z
45097.7233317539,2022-04-01T11:54:00Z
45072.5844258379,2022-04-01T11:55:00Z
45059.9989835027,2022-04-01T11:55:00Z
45090.8417310665,2022-04-01T11:55:00Z
45056.7191856445,2022-04-01T11:56:00Z
45073,2022-04-01T11:56:00Z
45067.0574413457,2022-04-01T11:57:00Z
45079.0814681923,2022-04-01T11:58:00Z
45100.4349616019,2022-04-01T11:59:00Z
45085.8,2022-04-01T11:59:00Z
45110,2022-04-01T11:59:00Z
45073.7288886366,2022-04-01T12:00:00Z
45084.9862091084,2022-04-01T12:00:00Z
45049.2044193797,2022-04-01T12:01:00Z
45022.887776978,2022-04-01T12:02:00Z
45038.4,2022-04-01T12:02:00Z
45000.2173312142,2022-04-01T12:02:00Z
44993.7591558095,2022-04-01T12:03:00Z
45000,2022-04-01T12:03:00Z
45040.7989796707,2022-04-01T12:04:00Z
