average-price,timestamp
174.842989,2022-04-01T12:28:00Z
174.855464,2022-04-01T12:29:00Z
174.798473,2022-04-01T12:30:00Z
174.676946,2022-04-01T12:31:00Z
174.470347,2022-04-01T12:32:00Z
174.370363,2022-04-01T12:33:00Z
174.446631,2022-04-01T12:34:00Z
174.536823,2022-04-01T12:35:00Z
174.445461,2022-04-01T12:36:00Z
174.397348,2022-04-01T12:37:00Z
174.564096,2022-04-01T12:38:00Z
174.547269,2022-04-01T12:39:00Z
174.47644,2022-04-01T12:40:00Z
174.318338,2022-04-01T12:41:00Z
174.060657,2022-04-01T12:42:00Z
173.85945,2022-04-01T12:43:00Z
173.86236,2022-04-01T12:44:00Z
173.867061,2022-04-01T12:45:00Z
173.893424,2022-04-01T12:46:00Z
173.87521,2022-04-01T12:47:00Z
173.903589,2022-04-01T12:48:00Z
173.833701,2022-04-01T12:49:00Z
173.702702,2022-04-01T12:50:00Z
173.759215,2022-04-01T12:51:00Z
173.893537,2022-04-01T12:52:00Z
173.839805,2022-04-01T12:53:00Z
173.758183,2022-04-01T12:54:00Z
173.716193,2022-04-01T12:55:00Z
173.661325,2022-04-01T12:56:00Z
173.466398,2022-04-01T12:57:00Z
173.651998,2022-04-01T12:58:00Z
173.720413,2022-04-01T12:59:00Z
173.631707,2022-04-01T13:00:00Z
173.665818,2022-04-01T13:01:00Z
173.54078,2022-04-01T13:02:00Z
173.437614,2022-04-01T13:03:00Z
173.369825,2022-04-01T13:04:00Z
173.317525,2022-04-01T13:05:00Z
173.516244,2022-04-01T13:06:00Z
173.551433,2022-04-01T13:07:00Z
173.509819,2022-04-01T13:08:00Z
173.460952,2022-04-01T13:09:00Z
173.476493,2022-04-01T13:10:00Z
173.545231,2022-04-01T13:11:00Z
173.492241,2022-04-01T13:12:00Z
173.47568,2022-04-01T13:13:00Z
173.625721,2022-04-01T13:14:00Z
173.723848,2022-04-01T13:15:00Z
173.736267,2022-04-01T13:16:00Z
173.726293,2022-04-01T13:17:00Z
173.654158,2022-04-01T13:18:00Z
173.580697,2022-04-01T13:19:00Z
173.572221,2022-04-01T13:20:00Z
173.563245,2022-04-01T13:21:00Z
173.49541,2022-04-01T13:22:00Z
173.623272,2022-04-01T13:23:00Z
173.626652,2022-04-01T13:24:00Z
173.585652,2022-04-01T13:25:00Z
173.624021,2022-04-01T13:26:00Z
173.713074,2022-04-01T13:27:00Z
173.85704,2022-04-01T13:28:00Z
173.929498,2022-04-01T13:29:00Z
173.970655,2022-04-01T13:30:00Z
174.484274,2022-04-01T13:31:00Z
174.623801,2022-04-01T13:32:00Z
174.647216,2022-04-01T13:33:00Z
174.322001,2022-04-01T13:34:00Z
173.889658,2022-04-01T13:35:00Z
173.87552,2022-04-01T13:36:00Z
174.004183,2022-04-01T13:37:00Z
174.011415,2022-04-01T13:38:00Z
173.874255,2022-04-01T13:39:00Z
173.72737,2022-04-01T13:40:00Z
173.876198,2022-04-01T13:41:00Z
173.977967,2022-04-01T13:42:00Z
174.009565,2022-04-01T13:43:00Z
173.931649,2022-04-01T13:44:00Z
173.94788,2022-04-01T13:45:00Z
173.823898,2022-04-01T13:46:00Z
173.774547,2022-04-01T13:47:00Z
173.847195,2022-04-01T13:48:00Z
173.737768,2022-04-01T13:49:00Z
173.723544,2022-04-01T13:50:00Z
173.359902,2022-04-01T13:51:00Z
173.256129,2022-04-01T13:52:00Z
173.006743,2022-04-01T13:53:00Z
173.0763,2022-04-01T13:54:00Z
172.998588,2022-04-01T13:55:00Z
172.926357,2022-04-01T13:56:00Z
172.832087,2022-04-01T13:57:00Z
172.718369,2022-04-01T13:58:00Z
172.844222,2022-04-01T13:59:00Z
172.691013,2022-04-01T14:00:00Z
172.645619,2022-04-01T14:01:00Z
172.7533,2022-04-01T14:02:00Z
173.072516,2022-04-01T14:03:00Z
173.029449,2022-04-01T14:04:00Z
173.309417,2022-04-01T14:05:00Z
173.562131,2022-04-01T14:06:00Z
173.727233,2022-04-01T14:07:00Z
173.689881,2022-04-01T14:08:00Z
173.585093,2022-04-01T14:09:00Z
173.613034,2022-04-01T14:10:00Z
173.683651,2022-04-01T14:11:00Z
173.634327,2022-04-01T14:12:00Z
173.905096,2022-04-01T14:13:00Z
174.04393,2022-04-01T14:14:00Z
173.998198,2022-04-01T14:15:00Z
173.957002,2022-04-01T14:16:00Z
173.93345,2022-04-01T14:17:00Z
173.851114,2022-04-01T14:18:00Z
173.648442,2022-04-01T14:19:00Z
173.469577,2022-04-01T14:20:00Z
173.290123,2022-04-01T14:21:00Z
173.234125,2022-04-01T14:22:00Z
173.13538,2022-04-01T14:23:00Z
173.220491,2022-04-01T14:24:00Z
173.209473,2022-04-01T14:25:00Z
173.116488,2022-04-01T14:26:00Z
173.082394,2022-04-01T14:27:00Z
173.259189,2022-04-01T14:28:00Z
173.184546,2022-04-01T14:29:00Z
173.318605,2022-04-01T14:30:00Z
173.345492,2022-04-01T14:31:00Z
173.270836,2022-04-01T14:32:00Z
173.171002,2022-04-01T14:33:00Z
173.209336,2022-04-01T14:34:00Z
173.466205,2022-04-01T14:35:00Z
173.594931,2022-04-01T14:36:00Z
173.694444,2022-04-01T14:37:00Z
173.72,2022-04-01T14:38:00Z
173.61398,2022-04-01T14:39:00Z
173.519871,2022-04-01T14:40:00Z
173.358994,2022-04-01T14:41:00Z
173.563236,2022-04-01T14:42:00Z
173.839148,2022-04-01T14:43:00Z
173.809871,2022-04-01T14:44:00Z
173.839029,2022-04-01T14:45:00Z
173.801484,2022-04-01T14:46:00Z
173.707626,2022-04-01T14:47:00Z
173.842022,2022-04-01T14:48:00Z
173.776556,2022-04-01T14:49:00Z
173.813828,2022-04-01T14:50:00Z
173.772917,2022-04-01T14:51:00Z
173.836449,2022-04-01T14:52:00Z
173.812381,2022-04-01T14:53:00Z
173.808235,2022-04-01T14:54:00Z
173.742548,2022-04-01T14:55:00Z
173.793464,2022-04-01T14:56:00Z
173.826601,2022-04-01T14:57:00Z
173.932859,2022-04-01T14:58:00Z
173.887836,2022-04-01T14:59:00Z
173.826924,2022-04-01T15:00:00Z
173.737791,2022-04-01T15:01:00Z
173.734563,2022-04-01T15:02:00Z
173.944578,2022-04-01T15:03:00Z
173.865105,2022-04-01T15:04:00Z
173.771682,2022-04-01T15:05:00Z
